127.0.0.1 - - [03/Jul/2015:07:13:43 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:16:14 -0400] "GET /MikeGames/img/java_control_panel.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:16:14 -0400] "GET /MikeGames/img/security.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:16:14 -0400] "GET /MikeGames/img/highlight_url.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:16:14 -0400] "GET /MikeGames/img/security_ok.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:16:14 -0400] "GET /MikeGames/img/security_add.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:16:14 -0400] "GET /MikeGames/img/success.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:16:14 -0400] "GET /MikeGames/img/run_app.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:16:14 -0400] "GET /MikeGames/img/security_warning.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:16:14 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/troubleshoot.html HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/app_error.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/no_app.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/control_panel.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/control_panel_prog.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/java_control_panel.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/security_except.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/highlight_url.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/security.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/security_warning.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/run_app.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/security_ok.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/security_add.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/success.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2015:07:18:04 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
